Date,SPY,QQQ,DIA,IWM,EFA,IEMG,VT,XLK,XLF,XLY,XLV,XLE,XLI,XLP,XLU,XLB,XLC,XLRE,NVDA,MSFT,AAPL,AMZN,GOOGL,META,AVGO,TSLA,AMD,ORCL,CRM,NFLX,JPM,V,MA,BAC,HD,UBER
2015-01-02,170.12501525878906,94.66506958007812,141.63796997070312,102.7869644165039,43.780635833740234,34.681209564208984,47.02303695678711,18.084274291992188,16.27478790283203,31.63665771484375,57.05782699584961,25.54806137084961,46.2114143371582,35.865386962890625,16.51127052307129,19.4089298248291,,,0.48298516869544983,39.68172836303711,24.19260025024414,15.425999641418457,26.260459899902344,77.83914947509766,7.5445122718811035,14.620667457580566,2.6700000762939453,37.353553771972656,58.38284683227539,4.984857082366943,46.27431106567383,61.08810043334961,79.84830474853516,14.123804092407227,79.37125396728516,
2015-01-05,167.05258178710938,93.27642059326172,139.17042541503906,101.41280364990234,42.747188568115234,34.15268325805664,46.113311767578125,17.808216094970703,15.932575225830078,31.031566619873047,56.7668571472168,24.49118423461914,45.131954193115234,35.61317443847656,16.309402465820312,18.91422462463379,,,0.47482749819755554,39.316837310791016,23.511056900024414,15.10949993133545,25.760095596313477,76.5889663696289,7.423911094665527,14.005999565124512,2.6600000858306885,36.8297119140625,57.32831954956055,4.731142997741699,44.83772277832031,59.73965835571289,77.60234832763672,13.713496208190918,77.70601654052734,
2015-01-06,165.47914123535156,92.0257797241211,138.01611328125,99.65834045410156,42.26296615600586,33.97403335571289,45.65060806274414,17.593502044677734,15.689080238342285,30.722412109375,56.57563400268555,24.131406784057617,44.575897216796875,35.56868362426758,16.319839477539062,18.746673583984375,,,0.4604315757751465,38.73978805541992,23.51327896118164,14.76449966430664,25.124347686767578,75.55706787109375,7.255063056945801,14.085332870483398,2.630000114440918,36.449501037597656,56.37236022949219,4.650143146514893,43.67513656616211,59.354705810546875,77.43460083007812,13.303202629089355,77.4681396484375,
2015-01-07,167.5411834716797,93.21208190917969,139.76736450195312,100.88560485839844,42.732730865478516,34.67375946044922,46.23878479003906,17.74248695373535,15.853601455688477,31.20823097229004,57.90586853027344,24.182798385620117,44.911163330078125,36.17693328857422,16.479948043823242,18.95811653137207,,,0.4592318534851074,39.231971740722656,23.842985153198242,14.920999526977539,25.050460815429688,75.55706787109375,7.451046466827393,14.063332557678223,2.5799999237060547,36.457950592041016,56.10626983642578,4.674285888671875,43.741783142089844,60.149959564208984,78.63911437988281,13.366323471069336,80.12329864501953,
2015-01-08,170.51419067382812,94.99612426757812,142.29054260253906,102.59685516357422,43.310890197753906,35.29160690307617,46.93677520751953,18.132478713989258,16.090518951416016,31.676401138305664,58.89516830444336,24.725685119628906,45.810707092285156,36.725860595703125,16.594802856445312,19.4089298248291,,,0.4765070080757141,40.38610076904297,24.75908088684082,15.02299976348877,25.137739181518555,77.57125854492188,7.823408126831055,14.041333198547363,2.609999895095825,36.6776237487793,57.742252349853516,4.7779998779296875,44.71924591064453,60.956729888916016,79.8623046875,13.64249038696289,81.89598083496094,
2015-01-09,169.14776611328125,94.37079620361328,141.0648193359375,101.61157989501953,43.10129928588867,35.16505813598633,46.62308120727539,18.07550621032715,15.87335205078125,31.309831619262695,58.37141799926758,24.52973175048828,45.32004165649414,36.429161071777344,16.490386962890625,19.30919647216797,,,0.4784265458583832,40.04664611816406,24.785633087158203,14.846500396728516,24.83077049255371,77.13469696044922,7.907079219818115,13.77733325958252,2.630000114440918,36.66071701049805,57.318477630615234,4.704143047332764,43.94173049926758,60.05315017700195,78.84452056884766,13.397883415222168,80.49163055419922,
2015-01-12,167.82276916503906,93.38678741455078,140.2847900390625,101.27454376220703,43.0001335144043,34.9045295715332,46.37995147705078,17.86518096923828,15.741730690002441,31.141990661621094,58.39637756347656,23.823009490966797,45.009300231933594,36.31789016723633,16.452104568481445,19.26531410217285,,,0.47242823243141174,39.545955657958984,24.174898147583008,14.570500373840332,24.649274826049805,76.12263488769531,7.775918960571289,13.480667114257812,2.630000114440918,36.55934524536133,56.89468765258789,4.554714202880859,43.564056396484375,59.93560028076172,77.83609008789062,13.161170959472656,80.13096618652344,
2015-01-13,167.3507080078125,93.35920715332031,140.0778350830078,101.35231018066406,43.21693801879883,35.18739318847656,46.41133499145508,17.852033615112305,15.689080238342285,31.141990661621094,58.13865280151367,23.63348388671875,44.919342041015625,36.31047439575195,16.49734878540039,19.049877166748047,,,0.47170835733413696,39.34229278564453,24.389545440673828,14.737000465393066,24.88433074951172,75.854736328125,7.732200622558594,13.616666793823242,2.6600000858306885,36.27206802368164,57.131221771240234,4.625570774078369,43.571468353271484,60.110755920410156,78.01348114013672,12.979696273803711,79.60147857666016,
2015-01-14,166.3404083251953,92.84423828125,138.54946899414062,100.94611358642578,43.09407424926758,35.038509368896484,46.199588775634766,17.751243591308594,15.465326309204102,30.766572952270508,58.047203063964844,23.70737075805664,44.674007415771484,36.199195861816406,16.64004898071289,18.826465606689453,,,0.4736279547214508,39.002845764160156,24.29660415649414,14.66349983215332,25.089136123657227,75.6860580444336,7.793255805969238,12.845999717712402,2.630000114440918,36.38191223144531,56.421634674072266,4.631999969482422,42.0682258605957,58.907527923583984,77.92948913574219,12.656188011169434,78.76500701904297,
2015-01-15,164.8166046142578,91.63951873779297,137.75343322753906,99.24349975585938,43.36869812011719,35.060855865478516,46.05058288574219,17.52338409423828,15.274479866027832,30.369075775146484,57.423641204833984,23.405406951904297,44.46141052246094,36.2585334777832,16.77230453491211,18.790559768676758,,,0.4702689051628113,38.595489501953125,23.637189865112305,14.34749984741211,24.993927001953125,73.47342681884766,7.637225151062012,12.791333198547363,2.5199999809265137,36.01859664916992,54.31260681152344,4.625143051147461,40.720516204833984,58.34741973876953,76.7996597290039,11.99339485168457,77.51416015625,
