Date,BTCUSD,ETHUSD,SOLUSD,XRPUSD,DOGEUSD,ADAUSD,LINKUSD,LTCUSD,BCHUSD,XMRUSD
2015-01-01,320.43499755859375,,,,,,,2.724210023880005,,
2015-01-02,315.8389892578125,,,,,,,2.69923996925354,,
2015-01-03,315.1499938964844,,,,,,,2.6664600372314453,,
2015-01-04,287.2300109863281,,,,,,,2.1544599533081055,,
2015-01-05,278.34100341796875,,,,,,,2.16048002243042,,
2015-01-06,287.5530090332031,,,,,,,2.1182401180267334,,
2015-01-07,298.7539978027344,,,,,,,2.149869918823242,,
2015-01-08,294.135009765625,,,,,,,2.123500108718872,,
2015-01-09,291.114013671875,,,,,,,2.0112900733947754,,
2015-01-10,288.12701416015625,,,,,,,1.9803400039672852,,
2015-01-11,279.63800048828125,,,,,,,1.8782099485397339,,
2015-01-12,272.2030029296875,,,,,,,1.7941999435424805,,
2015-01-13,268.2770080566406,,,,,,,1.7191400527954102,,
2015-01-14,223.8939971923828,,,,,,,1.582669973373413,,
2015-01-15,229.06700134277344,,,,,,,1.376579999923706,,
2015-01-16,221.59100341796875,,,,,,,1.4727799892425537,,
2015-01-17,211.7310028076172,,,,,,,1.4036200046539307,,
2015-01-18,218.69500732421875,,,,,,,1.3722800016403198,,
2015-01-19,216.72799682617188,,,,,,,1.3593000173568726,,
2015-01-20,215.24099731445312,,,,,,,1.3448100090026855,,
2015-01-21,227.78799438476562,,,,,,,1.374169945716858,,
2015-01-22,237.0189971923828,,,,,,,1.453879952430725,,
2015-01-23,234.84500122070312,,,,,,,1.4301600456237793,,
2015-01-24,248.2100067138672,,,,,,,1.8870099782943726,,
2015-01-25,255.07400512695312,,,,,,,2.3749499320983887,,
2015-01-26,309.3840026855469,,,,,,,2.3853600025177,,
2015-01-27,275.4800109863281,,,,,,,2.1370201110839844,,
2015-01-28,266.5350036621094,,,,,,,2.1348400115966797,,
2015-01-29,238.70599365234375,,,,,,,1.9489099979400635,,
2015-01-30,242.8509979248047,,,,,,,1.9843800067901611,,
2015-01-31,233.50399780273438,,,,,,,1.9399199485778809,,
2015-02-01,231.57400512695312,,,,,,,1.8809800148010254,,
2015-02-02,242.1750030517578,,,,,,,1.882449984550476,,
2015-02-03,245.95700073242188,,,,,,,1.937600016593933,,
2015-02-04,230.05799865722656,,,,,,,1.838879942893982,,
2015-02-05,239.40499877929688,,,,,,,1.8101600408554077,,
2015-02-06,230.50999450683594,,,,,,,1.8274600505828857,,
2015-02-07,230.2989959716797,,,,,,,1.7917399406433105,,
2015-02-08,229.43800354003906,,,,,,,1.8136500120162964,,
2015-02-09,223.9770050048828,,,,,,,1.7855099439620972,,
2015-02-10,221.8070068359375,,,,,,,1.7861499786376953,,
2015-02-11,223.406005859375,,,,,,,1.7885500192642212,,
2015-02-12,222.19900512695312,,,,,,,1.7651400566101074,,
2015-02-13,240.25900268554688,,,,,,,1.8532099723815918,,
2015-02-14,259.8080139160156,,,,,,,1.963170051574707,,
2015-02-15,265.6109924316406,,,,,,,2.0295300483703613,,
2015-02-16,239.52099609375,,,,,,,1.848620057106018,,
2015-02-17,245.77499389648438,,,,,,,1.878909945487976,,
2015-02-18,244.25100708007812,,,,,,,1.86326003074646,,
2015-02-19,242.6719970703125,,,,,,,1.8506100177764893,,
2015-02-20,247.1009979248047,,,,,,,1.8640600442886353,,
2015-02-21,255.32000732421875,,,,,,,1.8656599521636963,,
2015-02-22,246.39199829101562,,,,,,,1.8663599491119385,,
2015-02-23,240.10899353027344,,,,,,,1.8229899406433105,,
2015-02-24,239.9010009765625,,,,,,,1.8356900215148926,,
2015-02-25,239.33999633789062,,,,,,,1.8316899538040161,,
