Date,BTCUSD,ETHUSD,SOLUSD,XRPUSD,DOGEUSD,ADAUSD,LINKUSD,LTCUSD,BCHUSD,XMRUSD
2015-01-01,314.00299072265625,,,,,,,2.689769983291626,,
2015-01-02,313.56500244140625,,,,,,,2.6638500690460205,,
2015-01-03,281.0820007324219,,,,,,,2.13316011428833,,
2015-01-04,257.61199951171875,,,,,,,1.912410020828247,,
2015-01-05,265.0840148925781,,,,,,,1.9580299854278564,,
2015-01-06,272.6960144042969,,,,,,,2.0445399284362793,,
2015-01-07,283.0790100097656,,,,,,,2.0811400413513184,,
2015-01-08,282.17498779296875,,,,,,,2.001849889755249,,
2015-01-09,280.5329895019531,,,,,,,1.9586299657821655,,
2015-01-10,273.96600341796875,,,,,,,1.6218600273132324,,
2015-01-11,265.03900146484375,,,,,,,1.6439900398254395,,
2015-01-12,265.20001220703125,,,,,,,1.6967600584030151,,
2015-01-13,219.906005859375,,,,,,,1.533460021018982,,
2015-01-14,171.50999450683594,,,,,,,1.1137399673461914,,
2015-01-15,176.89700317382812,,,,,,,1.1525399684906006,,
2015-01-16,199.77099609375,,,,,,,1.271690011024475,,
2015-01-17,194.875,,,,,,,1.2521899938583374,,
2015-01-18,194.50599670410156,,,,,,,1.2333600521087646,,
2015-01-19,207.3179931640625,,,,,,,1.306380033493042,,
2015-01-20,205.1529998779297,,,,,,,1.2996400594711304,,
2015-01-21,211.21200561523438,,,,,,,1.3182100057601929,,
2015-01-22,226.4340057373047,,,,,,,1.374269962310791,,
2015-01-23,225.1959991455078,,,,,,,1.380679965019226,,
2015-01-24,230.02200317382812,,,,,,,1.4191299676895142,,
2015-01-25,243.88999938964844,,,,,,,1.8394999504089355,,
2015-01-26,254.07899475097656,,,,,,,2.060699939727783,,
2015-01-27,250.6529998779297,,,,,,,1.8695399761199951,,
2015-01-28,227.04600524902344,,,,,,,1.8094300031661987,,
2015-01-29,220.71200561523438,,,,,,,1.832669973373413,,
2015-01-30,225.83900451660156,,,,,,,1.8906400203704834,,
2015-01-31,216.3090057373047,,,,,,,1.8705099821090698,,
2015-02-01,212.01499938964844,,,,,,,1.6791499853134155,,
2015-02-02,222.65899658203125,,,,,,,1.747920036315918,,
2015-02-03,224.48300170898438,,,,,,,1.8080899715423584,,
2015-02-04,221.11300659179688,,,,,,,1.757580041885376,,
2015-02-05,214.72500610351562,,,,,,,1.7302000522613525,,
2015-02-06,216.23199462890625,,,,,,,1.740190029144287,,
2015-02-07,222.60699462890625,,,,,,,1.7426899671554565,,
2015-02-08,221.07699584960938,,,,,,,1.7580900192260742,,
2015-02-09,217.0189971923828,,,,,,,1.7152600288391113,,
2015-02-10,215.33200073242188,,,,,,,1.6872899532318115,,
2015-02-11,218.07400512695312,,,,,,,1.7151700258255005,,
2015-02-12,217.61399841308594,,,,,,,1.7167500257492065,,
2015-02-13,221.26199340820312,,,,,,,1.7456300258636475,,
2015-02-14,235.5279998779297,,,,,,,1.8213800191879272,,
2015-02-15,227.6840057373047,,,,,,,1.7940800189971924,,
2015-02-16,229.02200317382812,,,,,,,1.7956299781799316,,
